gene_id	gene_name	count.input	count.sample	total.input	total.sample	log2OR	padj	hit	enriched.rev	count.input.rev	count.sample.rev	total.input.rev	total.sample.rev
ENSMUSG00000000263	Glra1	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000266	Mid2	16	1	330773	24257	NA	NA	NA	NA	22	0	328553	22225
ENSMUSG00000000275	Trim25	21	0	330773	24257	NA	NA	NA	NA	24	1	328553	22225
ENSMUSG00000000276	Dgke	38	2	330773	24257	NA	NA	NA	NA	49	2	328553	22225
ENSMUSG00000000278	Scpep1	39	3	330773	24257	0.447381975334562	0.99997370591344	FALSE	NA	33	0	328553	22225
ENSMUSG00000000282	Mnt	16	1	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000290	Itgb2	6	1	330773	24257	NA	NA	NA	NA	7	0	328553	22225
ENSMUSG00000000295	Hddc2	5	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000000296	Tpd52l1	2	0	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000301	Pemt	28	1	330773	24257	NA	NA	NA	NA	47	2	328553	22225
ENSMUSG00000000303	Cdh1	85	2	330773	24257	NA	NA	NA	NA	93	2	328553	22225
ENSMUSG00000000305	Cdh4	12	1	330773	24257	NA	NA	NA	NA	15	0	328553	22225
ENSMUSG00000000308	Ckmt1	18	0	330773	24257	NA	NA	NA	NA	9	1	328553	22225
ENSMUSG00000000317	Bcl6b	15	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000318	Clec10a	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000320	Alox12	2	1	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000325	Arvcf	70	3	330773	24257	-0.380579804277617	0.99997370591344	FALSE	NA	46	2	328553	22225
ENSMUSG00000000326	Comt	14	1	330773	24257	NA	NA	NA	NA	27	2	328553	22225
ENSMUSG00000000339	Rtca	5	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000340	Dbt	16	1	330773	24257	NA	NA	NA	NA	27	0	328553	22225
ENSMUSG00000000346	Dazap2	40	3	330773	24257	0.411762337080343	0.99997370591344	FALSE	NA	34	0	328553	22225
ENSMUSG00000000355	Mcts1	127	5	330773	24257	-0.646021042172492	0.99997370591344	FALSE	NA	123	7	328553	22225
ENSMUSG00000000359	Rem1	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000365	Rnf17	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000374	Trappc10	7	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000378	Ccm2	139	5	330773	24257	-0.775365715159929	0.99997370591344	FALSE	NA	96	6	328553	22225
ENSMUSG00000000381	Wap	10	2	330773	24257	NA	NA	NA	NA	15	1	328553	22225
ENSMUSG00000000384	Tbrg4	7	0	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000000385	Tmprss2	5	0	330773	24257	NA	NA	NA	NA	14	0	328553	22225
ENSMUSG00000000386	Mx1	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000392	Fap	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000394	Gcg	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000399	Ndufa9	2	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000402	Egfl6	244	8	330773	24257	-0.998051362788416	0.99997370591344	FALSE	NA	187	6	328553	22225
ENSMUSG00000000409	Lck	5	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000411	Tssk3	54	3	330773	24257	-0.0121035023834964	0.99997370591344	FALSE	NA	60	2	328553	22225
ENSMUSG00000000416	Cttnbp2	6	0	330773	24257	NA	NA	NA	NA	4	1	328553	22225
ENSMUSG00000000420	Galnt1	55	1	330773	24257	NA	NA	NA	Enriched for reversed integrations	65	48	328553	22225
ENSMUSG00000000435	Myf5	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000439	Mkrn2	2	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000440	Pparg	2	1	330773	24257	NA	NA	NA	NA	4	1	328553	22225
ENSMUSG00000000441	Raf1	96	6	330773	24257	-0.0233065389265703	0.99997370591344	FALSE	NA	110	3	328553	22225
ENSMUSG00000000486	Septin1	90	5	330773	24257	-0.153617943282531	0.99997370591344	FALSE	NA	76	9	328553	22225
ENSMUSG00000000489	Pdgfb	10	1	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000530	Acvrl1	4	0	330773	24257	NA	NA	NA	NA	6	1	328553	22225
ENSMUSG00000000531	Grasp	12	0	330773	24257	NA	NA	NA	NA	6	1	328553	22225
ENSMUSG00000000532	Acvr1b	31	2	330773	24257	NA	NA	NA	NA	33	3	328553	22225
ENSMUSG00000000538	Tom1l2	36	2	330773	24257	NA	NA	NA	NA	40	1	328553	22225
ENSMUSG00000000544	Gpa33	145	9	330773	24257	-0.0986820080891383	0.99997370591344	FALSE	NA	126	6	328553	22225
ENSMUSG00000000552	Zfp385a	11	0	330773	24257	NA	NA	NA	NA	17	0	328553	22225
ENSMUSG00000000555	Itga5	11	0	330773	24257	NA	NA	NA	NA	13	0	328553	22225
ENSMUSG00000000560	Gabra2	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000561	Wdr77	6	0	330773	24257	NA	NA	NA	NA	7	1	328553	22225
ENSMUSG00000000562	Adora3	3	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000563	Atp5pb	5	1	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000567	Sox9	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000568	Hnrnpd	8	1	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000579	Dynlt1c	24	3	330773	24257	1.12544312563144	0.99997370591344	FALSE	NA	15	2	328553	22225
ENSMUSG00000000581	C1d	3	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000594	Gm2a	79	3	330773	24257	-0.552813802409103	0.99997370591344	FALSE	NA	75	3	328553	22225
ENSMUSG00000000600	Krit1	4	0	330773	24257	NA	NA	NA	NA	2	1	328553	22225
ENSMUSG00000000605	Clcn4	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000606	Vmn2r88	1	0	330773	24257	NA	NA	NA	NA	2	1	328553	22225
ENSMUSG00000000617	Grm6	2	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000627	Sema4f	2	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000628	Hk2	126	10	330773	24257	0.240103358094812	0.99997370591344	FALSE	NA	97	4	328553	22225
ENSMUSG00000000631	Myo18a	22	0	330773	24257	NA	NA	NA	NA	26	3	328553	22225
ENSMUSG00000000632	Sez6	181	9	330773	24257	-0.416829694279164	0.99997370591344	FALSE	NA	155	6	328553	22225
ENSMUSG00000000673	Haao	47	1	330773	24257	NA	NA	NA	NA	79	3	328553	22225
ENSMUSG00000000682	Cd52	76	3	330773	24257	-0.497654751180949	0.99997370591344	FALSE	NA	87	3	328553	22225
ENSMUSG00000000686	Abhd15	1	1	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000690	Hoxb6	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000693	Loxl3	14	0	330773	24257	NA	NA	NA	NA	19	2	328553	22225
ENSMUSG00000000701	Tcl1b5	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000706	Btn1a1	5	0	330773	24257	NA	NA	NA	NA	5	1	328553	22225
ENSMUSG00000000708	Kat2b	188	6	330773	24257	-0.986099604627744	0.99997370591344	FALSE	NA	211	6	328553	22225
ENSMUSG00000000711	Rab5b	3	0	330773	24257	NA	NA	NA	NA	5	0	328553	22225
ENSMUSG00000000724	Cryba1	48	4	330773	24257	0.476546735982258	0.99997370591344	FALSE	NA	47	0	328553	22225
ENSMUSG00000000730	Dnmt3l	30	1	330773	24257	NA	NA	NA	NA	29	1	328553	22225
ENSMUSG00000000731	Aire	22	1	330773	24257	NA	NA	NA	NA	24	1	328553	22225
ENSMUSG00000000732	Icosl	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000738	Spg7	11	0	330773	24257	NA	NA	NA	NA	16	1	328553	22225
ENSMUSG00000000739	Sult5a1	8	0	330773	24257	NA	NA	NA	NA	9	1	328553	22225
ENSMUSG00000000740	Rpl13	13	0	330773	24257	NA	NA	NA	NA	9	1	328553	22225
ENSMUSG00000000743	Chmp1a	1	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000751	Rpa1	13	0	330773	24257	NA	NA	NA	NA	11	1	328553	22225
ENSMUSG00000000753	Serpinf1	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000759	Tubgcp3	12	1	330773	24257	NA	NA	NA	NA	11	0	328553	22225
ENSMUSG00000000766	Oprm1	9	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000000776	Polr3d	5	0	330773	24257	NA	NA	NA	NA	10	0	328553	22225
ENSMUSG00000000782	Tcf7	145	11	330773	24257	0.164468438637942	0.99997370591344	FALSE	NA	131	7	328553	22225
ENSMUSG00000000787	Ddx3x	94	4	330773	24257	-0.478813299772744	0.99997370591344	FALSE	NA	93	4	328553	22225
ENSMUSG00000000791	Il12rb1	9	0	330773	24257	NA	NA	NA	NA	7	0	328553	22225
ENSMUSG00000000792	Slc5a5	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000794	Kcnn3	6	0	330773	24257	NA	NA	NA	NA	11	0	328553	22225
ENSMUSG00000000804	Usp32	7	0	330773	24257	NA	NA	NA	NA	8	0	328553	22225
ENSMUSG00000000805	Car4	4	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000811	Txnrd3	4	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000817	Fasl	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000823	Zfp512b	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000826	Dnajc5	6	0	330773	24257	NA	NA	NA	NA	4	1	328553	22225
ENSMUSG00000000827	Tpd52l2	2	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000000838	Fmr1	20	0	330773	24257	NA	NA	NA	NA	10	1	328553	22225
ENSMUSG00000000861	Bcl11a	22	1	330773	24257	NA	NA	NA	NA	24	1	328553	22225
ENSMUSG00000000869	Il4	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000876	Pxmp4	52	3	330773	24257	0.041354105370448	0.99997370591344	FALSE	NA	50	3	328553	22225
ENSMUSG00000000881	Dlg3	11	1	330773	24257	NA	NA	NA	NA	21	0	328553	22225
ENSMUSG00000000884	Gnb1l	10	0	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000000889	Dbh	1	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000000901	Mmp11	16	1	330773	24257	NA	NA	NA	NA	12	1	328553	22225
ENSMUSG00000000902	Smarcb1	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000000903	Vpreb3	12	1	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000000915	Hip1r	2	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000000916	Nsun5	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000934	Top1mt	9	1	330773	24257	NA	NA	NA	NA	20	4	328553	22225
ENSMUSG00000000938	Hoxa10	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000942	Hoxa4	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000000957	Mmp14	36	4	330773	24257	0.88181939076817	0.99997370591344	FALSE	NA	33	1	328553	22225
ENSMUSG00000000958	Slc7a7	94	3	330773	24257	-0.800824913461236	0.99997370591344	FALSE	NA	100	7	328553	22225
ENSMUSG00000000959	Oxa1l	14	1	330773	24257	NA	NA	NA	NA	23	1	328553	22225
ENSMUSG00000000976	Heatr6	3	0	330773	24257	NA	NA	NA	NA	3	1	328553	22225
ENSMUSG00000000982	Ccl3	12	2	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000000983	Wfdc18	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001014	Icam4	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001016	Ilf2	110	4	330773	24257	-0.703460801563397	0.99997370591344	FALSE	NA	98	1	328553	22225
ENSMUSG00000001017	Chtop	13	2	330773	24257	NA	NA	NA	NA	15	1	328553	22225
ENSMUSG00000001018	Snapin	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001020	S100a4	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001021	S100a3	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001023	S100a5	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001025	S100a6	5	0	330773	24257	NA	NA	NA	NA	3	1	328553	22225
ENSMUSG00000001027	Scn4a	1	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001029	Icam2	6	0	330773	24257	NA	NA	NA	NA	11	0	328553	22225
ENSMUSG00000001034	Mapk7	6	8	330773	24257	4.13207774202607	1.78895680988582e-05	TRUE	NA	4	0	328553	22225
ENSMUSG00000001036	Epn2	27	0	330773	24257	NA	NA	NA	NA	28	1	328553	22225
ENSMUSG00000001039	B9d1	4	0	330773	24257	NA	NA	NA	Enriched for reversed integrations	5	8	328553	22225
ENSMUSG00000001052	Sec24b	6	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000001053	N4bp3	16	0	330773	24257	NA	NA	NA	NA	6	1	328553	22225
ENSMUSG00000001054	Rmnd5b	14	0	330773	24257	NA	NA	NA	NA	15	0	328553	22225
ENSMUSG00000001056	Nhp2	4	0	330773	24257	NA	NA	NA	NA	13	2	328553	22225
ENSMUSG00000001062	Vps9d1	2	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001065	Zfp276	5	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000001076	C1ql4	74	3	330773	24257	-0.459675121227267	0.99997370591344	FALSE	NA	75	3	328553	22225
ENSMUSG00000001082	Mfsd10	7	0	330773	24257	NA	NA	NA	NA	7	0	328553	22225
ENSMUSG00000001089	Luzp1	20	2	330773	24257	NA	NA	NA	NA	6	1	328553	22225
ENSMUSG00000001095	Slc13a2	58	2	330773	24257	NA	NA	NA	NA	67	4	328553	22225
ENSMUSG00000001098	Kctd10	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001100	Poldip2	15	0	330773	24257	NA	NA	NA	NA	9	1	328553	22225
ENSMUSG00000001103	Sebox	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001105	Ift20	1	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001119	Col6a1	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000001120	Pcbp3	9	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000001123	Lgals9	28	2	330773	24257	NA	NA	NA	NA	7	0	328553	22225
ENSMUSG00000001127	Araf	32	1	330773	24257	NA	NA	NA	NA	38	2	328553	22225
ENSMUSG00000001128	Cfp	49	0	330773	24257	NA	NA	NA	NA	68	3	328553	22225
ENSMUSG00000001131	Timp1	9	0	330773	24257	NA	NA	NA	NA	11	2	328553	22225
ENSMUSG00000001134	Uxt	3	0	330773	24257	NA	NA	NA	NA	6	0	328553	22225
ENSMUSG00000001138	Cnnm3	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001143	Lman2l	8	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000001150	Mcm3ap	8	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000001151	Pcnt	30	1	330773	24257	NA	NA	NA	NA	13	1	328553	22225
ENSMUSG00000001155	Ftcd	2	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001156	Mxd1	0	0	330773	24257	NA	NA	NA	NA	0	1	328553	22225
ENSMUSG00000001157	Gmcl1	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001158	Snrnp27	7	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001166	Oas1c	23	6	330773	24257	1.99210755594994	0.162989213405095	FALSE	NA	30	0	328553	22225
ENSMUSG00000001168	Oas1h	1	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000001173	Ocrl	11	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000001175	Calm1	39	2	330773	24257	NA	NA	NA	NA	30	1	328553	22225
ENSMUSG00000001211	Agpat3	15	0	330773	24257	NA	NA	NA	NA	22	0	328553	22225
ENSMUSG00000001225	Slc26a3	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001227	Sema6b	12	0	330773	24257	NA	NA	NA	NA	12	0	328553	22225
ENSMUSG00000001228	Uhrf1	57	1	330773	24257	NA	NA	NA	NA	50	4	328553	22225
ENSMUSG00000001229	Dpp9	15	0	330773	24257	NA	NA	NA	NA	15	0	328553	22225
ENSMUSG00000001240	Ramp2	15	0	330773	24257	NA	NA	NA	NA	10	0	328553	22225
ENSMUSG00000001247	Lsr	0	1	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001248	Gramd1a	26	3	330773	24257	1.01449247041062	0.99997370591344	FALSE	NA	26	2	328553	22225
ENSMUSG00000001249	Hpn	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001260	Gabrg1	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001270	Ckb	40	2	330773	24257	NA	NA	NA	NA	31	2	328553	22225
ENSMUSG00000001280	Sp1	104	5	330773	24257	-0.360143532835741	0.99997370591344	FALSE	NA	118	7	328553	22225
ENSMUSG00000001281	Itgb7	18	0	330773	24257	NA	NA	NA	NA	6	1	328553	22225
ENSMUSG00000001285	Myg1	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001288	Rarg	82	1	330773	24257	NA	NA	NA	NA	77	3	328553	22225
ENSMUSG00000001289	Pfdn5	1	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001300	Efnb2	1	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001305	Rrp15	7	0	330773	24257	NA	NA	NA	NA	10	0	328553	22225
ENSMUSG00000001313	Rnd2	14	1	330773	24257	NA	NA	NA	NA	15	1	328553	22225
ENSMUSG00000001323	Srr	9	0	330773	24257	NA	NA	NA	NA	17	0	328553	22225
ENSMUSG00000001333	Sync	94	3	330773	24257	-0.800824913461236	0.99997370591344	FALSE	NA	105	5	328553	22225
ENSMUSG00000001334	Fndc5	5	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000001348	Acp5	76	7	330773	24257	0.50259674753636	0.99997370591344	FALSE	NA	76	4	328553	22225
ENSMUSG00000001349	Cnn1	19	1	330773	24257	NA	NA	NA	NA	19	0	328553	22225
ENSMUSG00000001366	Fbxo9	83	1	330773	24257	NA	NA	NA	NA	67	6	328553	22225
ENSMUSG00000001376	Vps50	35	3	330773	24257	0.599395478491964	0.99997370591344	FALSE	NA	8	1	328553	22225
ENSMUSG00000001380	Hars	5	0	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000001383	Zmat2	1	0	330773	24257	NA	NA	NA	NA	3	0	328553	22225
ENSMUSG00000001403	Ube2c	5	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001415	Smg5	15	1	330773	24257	NA	NA	NA	NA	12	3	328553	22225
ENSMUSG00000001416	Cct3	104	4	330773	24257	-0.62325828882161	0.99997370591344	FALSE	NA	77	4	328553	22225
ENSMUSG00000001418	Glmp	3	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001419	Mef2d	8	0	330773	24257	NA	NA	NA	NA	12	0	328553	22225
ENSMUSG00000001420	Tmem79	12	3	330773	24257	2.06906242927111	0.734739297258095	FALSE	NA	15	1	328553	22225
ENSMUSG00000001424	Snd1	37	3	330773	24257	0.521386947297665	0.99997370591344	FALSE	NA	35	2	328553	22225
ENSMUSG00000001435	Col18a1	150	6	330773	24257	-0.662075520118341	0.99997370591344	FALSE	NA	132	7	328553	22225
ENSMUSG00000001436	Slc19a1	9	0	330773	24257	NA	NA	NA	NA	7	0	328553	22225
ENSMUSG00000001440	Kpnb1	8	0	330773	24257	NA	NA	NA	NA	16	0	328553	22225
ENSMUSG00000001441	Npepps	122	6	330773	24257	-0.366039632767469	0.99997370591344	FALSE	NA	139	6	328553	22225
ENSMUSG00000001444	Tbx21	3	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000001445	Mrpl10	3	1	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001467	Cyp51	8	0	330773	24257	NA	NA	NA	NA	9	0	328553	22225
ENSMUSG00000001472	Tcf25	1	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001473	Tubb6	9	0	330773	24257	NA	NA	NA	NA	11	0	328553	22225
ENSMUSG00000001482	Def8	14	0	330773	24257	NA	NA	NA	NA	20	0	328553	22225
ENSMUSG00000001493	Meox1	5	1	330773	24257	NA	NA	NA	NA	4	0	328553	22225
ENSMUSG00000001494	Sost	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001496	Nkx2-1	0	0	330773	24257	NA	NA	NA	NA	0	0	328553	22225
ENSMUSG00000001497	Pax9	0	0	330773	24257	NA	NA	NA	NA	2	0	328553	22225
ENSMUSG00000001504	Irx2	0	0	330773	24257	NA	NA	NA	NA	1	0	328553	22225
ENSMUSG00000001506	Col1a1	25	2	330773	24257	NA	NA	NA	NA	20	2	328553	22225
ENSMUSG00000001507	Itga3	16	2	330773	24257	NA	NA	NA	NA	26	3	328553	22225
ENSMUSG00000001508	Sgca	15	1	330773	24257	NA	NA	NA	NA	14	1	328553	22225
